lines_modified,complexity,author_type_Bot,author_type_Junior,author_type_Senior,file_type_java,file_type_py,file_type_xml,churn,num_authors,bug_fix_proximity,target
103.0,7.495782999760721,0.0,0.0,1.0,1.0,0.0,0.0,51,5,276,0
436.0,3.929894489788591,0.0,0.0,1.0,1.0,0.0,0.0,92,1,241,0
349.0,8.291642207065145,0.0,1.0,0.0,0.0,0.0,1.0,14,2,173,0
271.0,5.690814691657477,0.0,1.0,0.0,1.0,0.0,0.0,71,6,59,0
107.0,0.6351182959000135,0.0,1.0,0.0,0.0,1.0,0.0,60,1,96,0
72.0,0.3682186763599138,0.0,1.0,0.0,0.0,0.0,1.0,20,4,84,0
189.0,1.338521188006332,0.0,0.0,1.0,1.0,0.0,0.0,82,2,239,0
21.0,0.1367196482699728,0.0,0.0,1.0,0.0,0.0,1.0,86,3,120,0
103.0,0.7535906035246231,0.0,1.0,0.0,0.0,0.0,1.0,74,8,151,0
122.0,6.9171439716891205,1.0,0.0,0.0,1.0,0.0,0.0,74,1,311,0
467.0,5.343462750294631,0.0,0.0,1.0,0.0,0.0,1.0,87,4,195,0
215.0,7.499107494699718,1.0,0.0,0.0,0.0,1.0,0.0,99,3,199,0
331.0,9.131657522576427,1.0,0.0,0.0,0.0,1.0,0.0,23,10,67,0
459.0,5.85149532325472,0.0,1.0,0.0,0.0,0.0,1.0,2,2,227,0
88.0,7.26120844071848,0.0,1.0,0.0,1.0,0.0,0.0,21,3,109,0
373.0,7.570812020424559,0.0,1.0,0.0,0.0,0.0,1.0,52,3,245,0
100.0,3.778505492757864,0.0,1.0,0.0,0.0,1.0,0.0,1,4,100,0
360.0,2.4108483232963183,0.0,0.0,1.0,0.0,0.0,1.0,87,6,57,0
152.0,2.050453285065249,0.0,0.0,1.0,0.0,0.0,1.0,29,5,257,0
131.0,2.5144243951179845,0.0,1.0,0.0,0.0,1.0,0.0,37,5,14,0
150.0,2.747317970259088,0.0,0.0,1.0,0.0,0.0,1.0,1,1,120,0
309.0,2.0722764900805646,0.0,1.0,0.0,0.0,0.0,1.0,63,6,359,0
258.0,8.782206674791922,1.0,0.0,0.0,1.0,0.0,0.0,59,9,349,0
344.0,7.569991321722287,1.0,0.0,0.0,1.0,0.0,0.0,20,1,213,0
492.0,0.4689646779121992,1.0,0.0,0.0,0.0,1.0,0.0,32,1,339,0
414.0,2.6867248202530734,0.0,1.0,0.0,0.0,1.0,0.0,75,10,96,0
294.0,0.2218474203030163,1.0,0.0,0.0,0.0,1.0,0.0,57,3,330,0
386.0,4.981651866458929,0.0,0.0,1.0,1.0,0.0,0.0,21,1,287,1
192.0,4.7621069678901415,1.0,0.0,0.0,0.0,1.0,0.0,88,5,72,0
444.0,8.313714900625012,1.0,0.0,0.0,0.0,1.0,0.0,48,5,189,0
277.0,3.0777723977104943,1.0,0.0,0.0,0.0,1.0,0.0,90,9,72,0
161.0,8.163857352130623,0.0,0.0,1.0,1.0,0.0,0.0,58,10,330,0
460.0,9.679737654398233,0.0,1.0,0.0,0.0,0.0,1.0,41,8,86,0
314.0,0.8840822336564658,0.0,0.0,1.0,0.0,1.0,0.0,91,5,242,0
22.0,7.918178394696329,0.0,1.0,0.0,0.0,0.0,1.0,59,9,144,0
